acropolis_athens,10045378096,103,104,58,32,27,12
acropolis_athens,10045482563,147,184,127,14,34,0
acropolis_athens,10045488655,151,233,100,7,53,2
acropolis_athens,10045579766,113,311,165,3,13,1
acropolis_athens,10045606263,159,143,83,27,52,10
acropolis_athens,10045632093,156,210,138,17,50,4
acropolis_athens,10045633316,154,176,127,18,51,3
acropolis_athens,10045665523,36,124,72,3,18,2
acropolis_athens,10045665564,97,246,101,5,67,5
acropolis_athens,10045737995,152,208,107,23,20,5
acropolis_athens,10045759763,76,278,197,5,39,0
acropolis_athens,10045795353,90,192,129,9,42,5
acropolis_athens,10045809175,113,249,85,10,71,0
acropolis_athens,10045868856,184,230,59,8,19,9
acropolis_athens,10045898593,207,349,125,28,6,5
acropolis_athens,12044649575,106,111,120,34,57,4
acropolis_athens,12044924063,7,76,54,1,46,3
acropolis_athens,12044979074,83,330,58,3,49,1
acropolis_athens,12045021564,110,270,220,3,8,0
acropolis_athens,12045478526,84,202,189,11,20,2
acropolis_athens,132872354,137,213,125,9,33,3
acropolis_athens,135114844,113,324,193,21,9,10
acropolis_athens,135114980,48,83,24,7,22,6
acropolis_athens,135115202,128,282,181,24,26,5
acropolis_athens,135115317,105,215,170,17,21,2
acropolis_athens,135115501,102,263,136,23,40,9
acropolis_athens,135115675,91,186,164,12,14,4
acropolis_athens,135115983,114,378,247,9,29,0
acropolis_athens,135116101,160,372,160,8,9,2
acropolis_athens,135116270,137,346,86,1,16,0
acropolis_athens,135116324,34,188,59,6,61,2
acropolis_athens,135116398,55,153,19,2,52,3
acropolis_athens,2064729309,23,188,17,0,18,5
acropolis_athens,2064729793,156,528,59,3,7,5
acropolis_athens,2065524674,43,126,26,11,24,6
acropolis_athens,2183279459,235,301,52,3,15,4
acropolis_athens,2183292799,157,389,129,14,10,2
acropolis_athens,2183301183,146,650,155,3,1,0
acropolis_athens,2183306153,151,150,65,21,10,9
acropolis_athens,2183308589,73,102,47,12,8,1
acropolis_athens,2183311503,140,405,11,2,1,2
acropolis_athens,2183317649,87,476,55,7,7,0
acropolis_athens,2183319977,153,520,69,0,0,0
acropolis_athens,2184089934,141,547,241,1,4,0
acropolis_athens,2184100902,166,364,67,6,1,0
acropolis_athens,2184117824,103,285,113,2,24,1
acropolis_athens,2811278670,55,176,17,16,22,12
acropolis_athens,2835779103,58,239,121,5,73,0
acropolis_athens,288044415,77,175,75,4,49,7
acropolis_athens,288051306,215,258,94,15,12,10
acropolis_athens,2950994233,28,139,39,5,52,0
acropolis_athens,2951008473,224,317,235,5,15,0
acropolis_athens,2951061755,177,323,87,22,8,3
acropolis_athens,2951064223,208,239,130,28,12,9
acropolis_athens,2951069467,159,340,84,4,25,1
acropolis_athens,2951102363,188,366,22,23,6,15
acropolis_athens,2951841806,18,105,20,3,68,1
acropolis_athens,2951846628,117,271,162,3,22,6
acropolis_athens,2951859592,145,314,197,5,28,2
acropolis_athens,2951861710,199,361,87,8,8,8
acropolis_athens,2951910186,167,353,90,17,13,17
acropolis_athens,2951917734,84,293,66,2,21,0
acropolis_athens,2951944040,180,255,116,10,29,8
acropolis_athens,2951950136,222,510,93,3,10,0
acropolis_athens,2951965474,153,469,168,1,17,2
acropolis_athens,2980998033,154,325,164,5,57,7
acropolis_athens,2980999601,47,239,127,3,79,0
acropolis_athens,2981858036,83,279,115,1,85,0
acropolis_athens,2981859930,21,116,38,6,70,0
acropolis_athens,2981862012,86,144,42,8,8,1
acropolis_athens,3114732891,119,280,61,7,43,4
acropolis_athens,3472230091,202,543,135,43,81,23
acropolis_athens,3472330055,181,504,137,5,5,0
acropolis_athens,3472449933,178,577,203,0,1,0
acropolis_athens,3473162568,155,438,84,3,34,0
acropolis_athens,3473255564,161,386,95,0,0,0
acropolis_athens,3474151758,133,247,29,1,43,2
acropolis_athens,3536116282,9,107,29,0,0,0
acropolis_athens,3629159169,35,126,92,2,28,0
acropolis_athens,3629163439,114,216,96,6,34,4
acropolis_athens,3629171779,143,277,71,11,34,2
acropolis_athens,3629979914,131,202,138,15,41,9
acropolis_athens,3632560595,148,355,27,8,21,12
acropolis_athens,3633366466,164,269,138,16,41,11
